MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
64799c209424708107344b1e,AK4LTWCG,2023-06-02T07:37:03.636Z,minute,18.64,18.64,1,35.02,35.02,1,27.61,27.61,1,36.11,36.11,1,31.45,31.45,1,36.32,36.32,1,-0.51,-0.51,1,78.75,78.75,1,28.09,28.09,1
64799809d3d5f8d5bd79537e,AK4LTWCG,2023-06-02T07:19:37.251Z,minute,22.69,22.69,1,46.61,46.61,1,32.63,32.63,1,47.94,47.94,1,39.9,39.9,1,48.16,48.16,1,0.98,0.98,1,79.63,79.63,1,27.58,27.58,1
647993f494247081073438c3,AK4LTWCG,2023-06-02T07:02:10.641Z,minute,26.58,26.58,1,54.18,54.18,1,37.77,37.77,1,56.06,56.06,1,47.38,47.38,1,56.26,56.26,1,5.63,5.63,1,82.21,82.21,1,26.88,26.88,1
64798fdd057d41aea7a7b390,AK4LTWCG,2023-06-02T06:44:43.937Z,minute,30.59,30.59,1,70.99,70.99,1,45,45,1,73.58,73.58,1,56.18,56.18,1,73.87,73.87,1,9.62,9.62,1,84.16,84.16,1,26.16,26.16,1
64798bc7d3d5f8d5bd7932b7,AK4LTWCG,2023-06-02T06:27:16.979Z,minute,28.73,28.73,1,62.25,62.25,1,41.69,41.69,1,64.5,64.5,1,53.19,53.19,1,64.79,64.79,1,11.24,11.24,1,84.83,84.83,1,25.84,25.84,1
647987afa0831e9708449027,AK4LTWCG,2023-06-02T06:09:49.984Z,minute,23.55,23.55,1,46.52,46.52,1,34.58,34.58,1,48.1,48.1,1,41.78,41.78,1,48.34,48.34,1,9.47,9.47,1,85.33,85.33,1,25.62,25.62,1
64798398057d41aea7a7954e,AK4LTWCG,2023-06-02T05:52:22.961Z,minute,21.73,21.73,1,40.44,40.44,1,30.85,30.85,1,41.83,41.83,1,35.35,35.35,1,41.98,41.98,1,8.49,8.49,1,85.49,85.49,1,25.46,25.46,1
64797f80d8b93b2dbaf571b8,AK4LTWCG,2023-06-02T05:34:56.129Z,minute,21.97,21.97,1,40.1,40.1,1,32.19,32.19,1,41.62,41.62,1,38.64,38.64,1,41.88,41.88,1,9.25,9.25,1,85.19,85.19,1,25.53,25.53,1
64797b6aa0831e9708447345,AK4LTWCG,2023-06-02T05:17:29.189Z,minute,20.62,20.62,1,37.14,37.14,1,29.77,29.77,1,38.43,38.43,1,33.5,33.5,1,38.59,38.59,1,8.37,8.37,1,84.87,84.87,1,25.59,25.59,1
64797753a0831e9708446847,AK4LTWCG,2023-06-02T05:00:02.393Z,minute,20.18,20.18,1,36.17,36.17,1,30.18,30.18,1,37.4,37.4,1,34.94,34.94,1,37.66,37.66,1,7.29,7.29,1,84.59,84.59,1,25.63,25.63,1
6479733bd8b93b2dbaf552ea,AK4LTWCG,2023-06-02T04:42:35.509Z,minute,18.22,18.22,1,32.21,32.21,1,27.3,27.3,1,33.42,33.42,1,31.69,31.69,1,33.64,33.64,1,6.66,6.66,1,84.33,84.33,1,25.72,25.72,1
64796f25d8b93b2dbaf54afb,AK4LTWCG,2023-06-02T04:25:08.807Z,minute,13.65,13.65,1,24.78,24.78,1,19.62,19.62,1,25.71,25.71,1,22.77,22.77,1,25.85,25.85,1,4.52,4.52,1,84.14,84.14,1,25.77,25.77,1
64796b0f1a77008f51d02199,AK4LTWCG,2023-06-02T04:07:42.050Z,minute,10.62,10.62,1,19.34,19.34,1,16.46,16.46,1,20.13,20.13,1,18.73,18.73,1,20.26,20.26,1,6.18,6.18,1,83.9,83.9,1,25.84,25.84,1
647966f815d82801f1f19d1c,AK4LTWCG,2023-06-02T03:50:15.265Z,minute,7.77,7.77,1,16.12,16.12,1,13.69,13.69,1,16.68,16.68,1,16.42,16.42,1,16.82,16.82,1,3.85,3.85,1,83.8,83.8,1,25.93,25.93,1
647962e1ef1dcd5a24995e08,AK4LTWCG,2023-06-02T03:32:48.512Z,minute,8.81,8.81,1,17.11,17.11,1,13.54,13.54,1,17.7,17.7,1,16.81,16.81,1,17.81,17.81,1,4.63,4.63,1,83.91,83.91,1,26.01,26.01,1
64795ecaef1dcd5a24995436,AK4LTWCG,2023-06-02T03:15:21.649Z,minute,10.58,10.58,1,19.98,19.98,1,14.96,14.96,1,20.63,20.63,1,17.54,17.54,1,20.71,20.71,1,4.86,4.86,1,83.83,83.83,1,26.1,26.1,1
64795ab315d82801f1f17ef3,AK4LTWCG,2023-06-02T02:57:54.823Z,minute,10.85,10.85,1,19.45,19.45,1,15.35,15.35,1,20.18,20.18,1,19.08,19.08,1,20.3,20.3,1,4.99,4.99,1,83.68,83.68,1,26.21,26.21,1
6479569d8ee317d67083e693,AK4LTWCG,2023-06-02T02:40:28.243Z,minute,13.31,13.31,1,23.93,23.93,1,19.46,19.46,1,24.83,24.83,1,22.42,22.42,1,24.98,24.98,1,7.35,7.35,1,83.59,83.59,1,26.32,26.32,1
64795286ef1dcd5a249937aa,AK4LTWCG,2023-06-02T02:23:01.714Z,minute,10.77,10.77,1,20.2,20.2,1,17.31,17.31,1,21.03,21.03,1,21.42,21.42,1,21.21,21.21,1,5.25,5.25,1,83.39,83.39,1,26.45,26.45,1
64794e6c11674e9c26676e41,AK4LTWCG,2023-06-02T02:05:32.177Z,minute,10.27,10.27,1,18.75,18.75,1,15.58,15.58,1,19.61,19.61,1,18.54,18.54,1,19.72,19.72,1,3.9,3.9,1,83.1,83.1,1,26.52,26.52,1
6479381ad36287f9c0d21f2a,AK4LTWCG,2023-06-02T00:30:17.234Z,minute,21.14,21.14,1,39.59,39.59,1,31.83,31.83,1,40.98,40.98,1,41.01,41.01,1,41.26,41.26,1,15.86,15.86,1,82.77,82.77,1,26.68,26.68,1
6477f445cb673d4145cf60dc,AK4LTWCG,2023-06-01T01:28:36.723Z,minute,12.08,12.08,1,23.47,23.47,1,19.46,19.46,1,24.51,24.51,1,27.5,27.5,1,24.72,24.72,1,-2.15,-2.15,1,77.87,77.87,1,28.85,28.85,1
6477f030be73df782aa29ac7,AK4LTWCG,2023-06-01T01:11:10.512Z,minute,7.92,7.92,1,16.13,16.13,1,13.62,13.62,1,16.88,16.88,1,18.12,18.12,1,17.02,17.02,1,-2.42,-2.42,1,77.7,77.7,1,28.95,28.95,1
6477ec19be73df782aa28cb3,AK4LTWCG,2023-06-01T00:53:44.148Z,minute,5.15,5.15,1,10.56,10.56,1,7.96,7.96,1,10.91,10.91,1,9.58,9.58,1,10.99,10.99,1,-1.27,-1.27,1,77.77,77.77,1,28.98,28.98,1
6477e8025f527cea833eaacb,AK4LTWCG,2023-06-01T00:36:17.796Z,minute,5.04,5.04,1,10.73,10.73,1,7.81,7.81,1,11.13,11.13,1,10.77,10.77,1,11.22,11.22,1,-1.42,-1.42,1,77.82,77.82,1,29.05,29.05,1
6477e3e83616cd0ae35c7b2d,AK4LTWCG,2023-06-01T00:18:48.368Z,minute,12.23,12.23,1,21.94,21.94,1,18.38,18.38,1,22.96,22.96,1,24,24,1,23.1,23.1,1,-2.69,-2.69,1,77.03,77.03,1,29.13,29.13,1
6477dfd3be73df782aa26b89,AK4LTWCG,2023-06-01T00:01:22.050Z,minute,4.85,4.85,1,10.81,10.81,1,8.19,8.19,1,11.22,11.22,1,12.42,12.42,1,11.33,11.33,1,-2.03,-2.03,1,77,77,1,29.23,29.23,1
6477dbbcbe73df782aa26292,AK4LTWCG,2023-05-31T23:43:55.776Z,minute,6.58,6.58,1,13.54,13.54,1,10.58,10.58,1,14.16,14.16,1,15.81,15.81,1,14.29,14.29,1,-2.57,-2.57,1,77.53,77.53,1,29.33,29.33,1
6477d24b3616cd0ae35c59c6,AK4LTWCG,2023-05-31T23:03:38.125Z,minute,5.15,5.15,1,11.08,11.08,1,8.31,8.31,1,11.55,11.55,1,9.92,9.92,1,11.62,11.62,1,-1.48,-1.48,1,77.06,77.06,1,29.47,29.47,1
6477ce349b3c30f527afbdb1,AK4LTWCG,2023-05-31T22:46:11.564Z,minute,6.85,6.85,1,14.48,14.48,1,11.62,11.62,1,15.05,15.05,1,14.62,14.62,1,15.17,15.17,1,1.36,1.36,1,76.85,76.85,1,29.57,29.57,1
6477ca1df052588e7588e908,AK4LTWCG,2023-05-31T22:28:44.801Z,minute,6.42,6.42,1,12.77,12.77,1,10.58,10.58,1,13.27,13.27,1,13.58,13.58,1,13.39,13.39,1,-0.37,-0.37,1,76.6,76.6,1,29.72,29.72,1
6477c6079b3c30f527afaaf6,AK4LTWCG,2023-05-31T22:11:18.430Z,minute,5.73,5.73,1,12.18,12.18,1,8.88,8.88,1,12.58,12.58,1,11.15,11.15,1,12.65,12.65,1,4.18,4.18,1,77.02,77.02,1,29.67,29.67,1
6477c1e5f052588e7588cf0e,AK4LTWCG,2023-05-31T21:53:40.044Z,minute,5.38,5.38,1,11.79,11.79,1,9.38,9.38,1,12.32,12.32,1,12.73,12.73,1,12.43,12.43,1,2.31,2.31,1,76.07,76.07,1,29.72,29.72,1
6477bdce50352bdfa2e7e39a,AK4LTWCG,2023-05-31T21:36:13.871Z,minute,10.58,10.58,1,22.33,22.33,1,15.65,15.65,1,22.95,22.95,1,18.27,18.27,1,23.07,23.07,1,1.09,1.09,1,75.22,75.22,1,29.78,29.78,1
6477b9b8f052588e7588b594,AK4LTWCG,2023-05-31T21:18:47.404Z,minute,4.77,4.77,1,10.79,10.79,1,7.54,7.54,1,11.19,11.19,1,10.69,10.69,1,11.27,11.27,1,0.43,0.43,1,75.82,75.82,1,29.77,29.77,1
6477b5a250352bdfa2e7d1cf,AK4LTWCG,2023-05-31T21:01:21.117Z,minute,5.65,5.65,1,12.26,12.26,1,9.54,9.54,1,12.79,12.79,1,11.77,11.77,1,12.88,12.88,1,-0.76,-0.76,1,75.04,75.04,1,29.81,29.81,1
6477b18537f9a90297cd9cb2,AK4LTWCG,2023-05-31T20:43:48.678Z,minute,12.08,12.08,1,22.81,22.81,1,20.57,20.57,1,23.81,23.81,1,25.54,25.54,1,24.06,24.06,1,3.22,3.22,1,75.27,75.27,1,29.87,29.87,1
6477ad6e73ee853be6987d27,AK4LTWCG,2023-05-31T20:26:22.555Z,minute,5.69,5.69,1,11.61,11.61,1,9.12,9.12,1,12.15,12.15,1,10.65,10.65,1,12.22,12.22,1,1.52,1.52,1,74.24,74.24,1,29.91,29.91,1
6477a95873ee853be698751b,AK4LTWCG,2023-05-31T20:08:56.192Z,minute,5.5,5.5,1,12.48,12.48,1,9.58,9.58,1,12.95,12.95,1,12.08,12.08,1,13.05,13.05,1,2.4,2.4,1,74.21,74.21,1,29.95,29.95,1
6477a54237f9a90297cd82bc,AK4LTWCG,2023-05-31T19:51:29.456Z,minute,5.04,5.04,1,11.05,11.05,1,9.12,9.12,1,11.6,11.6,1,14.81,14.81,1,11.75,11.75,1,9.07,9.07,1,75.44,75.44,1,29.94,29.94,1
6477a12c73ee853be69865c4,AK4LTWCG,2023-05-31T19:34:03.282Z,minute,8.73,8.73,1,17.68,17.68,1,12.69,12.69,1,18.16,18.16,1,15.23,15.23,1,18.3,18.3,1,9.94,9.94,1,74.26,74.26,1,29.97,29.97,1
64779d1537f9a90297cd734f,AK4LTWCG,2023-05-31T19:16:37.017Z,minute,14.97,14.97,1,28.63,28.63,1,23.33,23.33,1,29.82,29.82,1,27.3,27.3,1,30.01,30.01,1,3.74,3.74,1,71.86,71.86,1,30.05,30.05,1
647798ff37f9a90297cd6c6d,AK4LTWCG,2023-05-31T18:59:10.515Z,minute,4.58,4.58,1,11.27,11.27,1,7.54,7.54,1,11.54,11.54,1,9.92,9.92,1,11.62,11.62,1,7.4,7.4,1,72.54,72.54,1,30.19,30.19,1
647794e937f9a90297cd64e8,AK4LTWCG,2023-05-31T18:41:44.306Z,minute,20.68,20.68,1,43.16,43.16,1,29.7,29.7,1,44.74,44.74,1,35.19,35.19,1,44.95,44.95,1,9.66,9.66,1,71.84,71.84,1,30.38,30.38,1
647790d27c62555db14fb9cc,AK4LTWCG,2023-05-31T18:24:18.051Z,minute,3.69,3.69,1,9.53,9.53,1,6.88,6.88,1,9.89,9.89,1,8.65,8.65,1,9.96,9.96,1,11.58,11.58,1,70.37,70.37,1,30.7,30.7,1
64778cbc50d403300a98f9da,AK4LTWCG,2023-05-31T18:06:51.946Z,minute,13.27,13.27,1,28.37,28.37,1,17.58,17.58,1,28.97,28.97,1,20.31,20.31,1,29.07,29.07,1,2.17,2.17,1,67.17,67.17,1,31.13,31.13,1
647788a650d403300a98f08e,AK4LTWCG,2023-05-31T17:49:26.169Z,minute,6.69,6.69,1,14.52,14.52,1,10.98,10.98,1,15.03,15.03,1,12.96,12.96,1,15.12,15.12,1,3.38,3.38,1,66.47,66.47,1,31.67,31.67,1
647784917c62555db14f9bdf,AK4LTWCG,2023-05-31T17:32:00.094Z,minute,4.92,4.92,1,12.08,12.08,1,7.92,7.92,1,12.42,12.42,1,12.23,12.23,1,12.54,12.54,1,2.05,2.05,1,65.13,65.13,1,32.27,32.27,1
6477807a5ef91c261e7d659e,AK4LTWCG,2023-05-31T17:14:33.645Z,minute,5.38,5.38,1,11.79,11.79,1,9.15,9.15,1,12.27,12.27,1,10.96,10.96,1,12.36,12.36,1,-2.28,-2.28,1,63.38,63.38,1,32.76,32.76,1
64777c645ef91c261e7d5b76,AK4LTWCG,2023-05-31T16:57:07.517Z,minute,5.62,5.62,1,12.61,12.61,1,8.81,8.81,1,13.12,13.12,1,10.73,10.73,1,13.17,13.17,1,-5.45,-5.45,1,62.33,62.33,1,33.21,33.21,1
6477784e5ef91c261e7d50c2,AK4LTWCG,2023-05-31T16:39:41.148Z,minute,11.88,11.88,1,23.95,23.95,1,15.42,15.42,1,24.53,24.53,1,17.92,17.92,1,24.61,24.61,1,-10.33,-10.33,1,60.52,60.52,1,33.67,33.67,1
64777437a717a9b621bf583d,AK4LTWCG,2023-05-31T16:22:15.172Z,minute,8.35,8.35,1,17.73,17.73,1,13.12,13.12,1,18.47,18.47,1,16.96,16.96,1,18.58,18.58,1,-12.21,-12.21,1,59.93,59.93,1,33.99,33.99,1
647770222c5fb0d89a7af2cf,AK4LTWCG,2023-05-31T16:04:49.728Z,minute,2.58,2.58,1,8.15,8.15,1,4.35,4.35,1,8.37,8.37,1,6.58,6.58,1,8.42,8.42,1,-13.44,-13.44,1,59.68,59.68,1,34.26,34.26,1
64776c0d2c5fb0d89a7ae6dd,AK4LTWCG,2023-05-31T15:47:23.996Z,minute,3.69,3.69,1,9.72,9.72,1,6.46,6.46,1,9.98,9.98,1,9.54,9.54,1,10.13,10.13,1,-16.52,-16.52,1,58.57,58.57,1,34.59,34.59,1
647767f77c2862eb745aeec3,AK4LTWCG,2023-05-31T15:29:58.346Z,minute,1.81,1.81,1,6.42,6.42,1,3.38,3.38,1,6.57,6.57,1,4.27,4.27,1,6.62,6.62,1,-14.33,-14.33,1,59.22,59.22,1,34.46,34.46,1
647763e22c5fb0d89a7ad1c2,AK4LTWCG,2023-05-31T15:12:32.957Z,minute,3.88,3.88,1,9.4,9.4,1,6.38,6.38,1,9.7,9.7,1,9.35,9.35,1,9.78,9.78,1,-15.71,-15.71,1,59.84,59.84,1,34.42,34.42,1
64775fa1ef98b554eb677596,AK4LTWCG,2023-05-31T14:54:25.193Z,minute,3,3,1,8.53,8.53,1,5.35,5.35,1,8.77,8.77,1,6.69,6.69,1,8.84,8.84,1,-7.79,-7.79,1,60.31,60.31,1,34.4,34.4,1
64775b8def98b554eb676b6a,AK4LTWCG,2023-05-31T14:36:59.932Z,minute,2.35,2.35,1,7.88,7.88,1,5.08,5.08,1,8.05,8.05,1,6.27,6.27,1,8.12,8.12,1,-15.8,-15.8,1,59.7,59.7,1,34.46,34.46,1
647757772c5fb0d89a7ab1f0,AK4LTWCG,2023-05-31T14:19:34.719Z,minute,1.35,1.35,1,5.32,5.32,1,2.96,2.96,1,5.49,5.49,1,4.54,4.54,1,5.55,5.55,1,-20.11,-20.11,1,58.36,58.36,1,34.77,34.77,1
64775361a235715991bd689a,AK4LTWCG,2023-05-31T14:02:09.390Z,minute,6.62,6.62,1,15.56,15.56,1,9.92,9.92,1,15.88,15.88,1,13.42,13.42,1,15.99,15.99,1,-22.88,-22.88,1,58.1,58.1,1,35.08,35.08,1
64774f4de9d42b930bea9676,AK4LTWCG,2023-05-31T13:44:44.030Z,minute,4.81,4.81,1,11.11,11.11,1,8,8,1,11.49,11.49,1,9.38,9.38,1,11.57,11.57,1,-18.51,-18.51,1,60.08,60.08,1,34.83,34.83,1
64774b3788c82d3be4e154f6,AK4LTWCG,2023-05-31T13:27:18.946Z,minute,0.58,0.58,1,3.74,3.74,1,1.35,1.35,1,3.83,3.83,1,1.62,1.62,1,3.86,3.86,1,-22.53,-22.53,1,60.83,60.83,1,34.46,34.46,1
64774720ef98b554eb673d94,AK4LTWCG,2023-05-31T13:09:50.765Z,minute,1.38,1.38,1,5.4,5.4,1,2.54,2.54,1,5.52,5.52,1,3.54,3.54,1,5.55,5.55,1,-20.57,-20.57,1,61.6,61.6,1,34.63,34.63,1
6477430788c82d3be4e13f14,AK4LTWCG,2023-05-31T12:52:21.823Z,minute,1.96,1.96,1,6.58,6.58,1,4.31,4.31,1,6.76,6.76,1,5.5,5.5,1,6.85,6.85,1,-18.76,-18.76,1,61.91,61.91,1,34.53,34.53,1
64773ef1ec9099acdb840474,AK4LTWCG,2023-05-31T12:34:56.559Z,minute,4.23,4.23,1,9.71,9.71,1,6.42,6.42,1,10.07,10.07,1,8.27,8.27,1,10.12,10.12,1,-18.28,-18.28,1,63.51,63.51,1,34.03,34.03,1
64773adc88c82d3be4e12cf2,AK4LTWCG,2023-05-31T12:17:31.117Z,minute,2.96,2.96,1,8.98,8.98,1,5.35,5.35,1,9.22,9.22,1,6.77,6.77,1,9.28,9.28,1,-15.59,-15.59,1,64.01,64.01,1,33.71,33.71,1
647736c57932ab106dfb034f,AK4LTWCG,2023-05-31T12:00:05.204Z,minute,3.15,3.15,1,8.45,8.45,1,5.35,5.35,1,8.74,8.74,1,6.15,6.15,1,8.8,8.8,1,-10.01,-10.01,1,64.94,64.94,1,33.51,33.51,1
647732afec9099acdb83e1ce,AK4LTWCG,2023-05-31T11:42:39.346Z,minute,4.35,4.35,1,11.78,11.78,1,6.65,6.65,1,12,12,1,7.85,7.85,1,12.05,12.05,1,-14.95,-14.95,1,65.62,65.62,1,33.45,33.45,1
64772e977932ab106dfaf34d,AK4LTWCG,2023-05-31T11:25:10.944Z,minute,6.35,6.35,1,14.08,14.08,1,10.5,10.5,1,14.63,14.63,1,13.69,13.69,1,14.73,14.73,1,-12.61,-12.61,1,66.04,66.04,1,33.24,33.24,1
64772a7d7932ab106dfae903,AK4LTWCG,2023-05-31T11:07:41.627Z,minute,4.73,4.73,1,10.78,10.78,1,7.69,7.69,1,11.08,11.08,1,9.69,9.69,1,11.16,11.16,1,-11.93,-11.93,1,66.14,66.14,1,33.18,33.18,1
647726697932ab106dfade50,AK4LTWCG,2023-05-31T10:50:15.920Z,minute,2.62,2.62,1,7.14,7.14,1,4.42,4.42,1,7.42,7.42,1,5.65,5.65,1,7.47,7.47,1,-18.67,-18.67,1,66.37,66.37,1,33.04,33.04,1
647722538e6a2afafa2c7304,AK4LTWCG,2023-05-31T10:32:50.133Z,minute,6.38,6.38,1,13.77,13.77,1,10.42,10.42,1,14.26,14.26,1,12.42,12.42,1,14.36,14.36,1,-15.38,-15.38,1,67.21,67.21,1,32.71,32.71,1
64771e3d820742aa2352bc3d,AK4LTWCG,2023-05-31T10:15:24.689Z,minute,6.58,6.58,1,14.88,14.88,1,9.69,9.69,1,15.29,15.29,1,13.15,13.15,1,15.37,15.37,1,-17.07,-17.07,1,66.97,66.97,1,32.84,32.84,1
64771a25f80e825100b1b099,AK4LTWCG,2023-05-31T09:57:56.240Z,minute,7.15,7.15,1,15.3,15.3,1,11.65,11.65,1,15.83,15.83,1,14.38,14.38,1,15.93,15.93,1,-15.45,-15.45,1,68.44,68.44,1,32.52,32.52,1
6477160b9221c78a5c568586,AK4LTWCG,2023-05-31T09:40:26.879Z,minute,3.35,3.35,1,9.18,9.18,1,7.46,7.46,1,9.56,9.56,1,9.88,9.88,1,9.67,9.67,1,-16.02,-16.02,1,69.46,69.46,1,32.06,32.06,1
647711f69221c78a5c567c93,AK4LTWCG,2023-05-31T09:23:01.321Z,minute,7.91,7.91,1,16.63,16.63,1,14.22,14.22,1,17.19,17.19,1,20.43,20.43,1,17.41,17.41,1,-16.02,-16.02,1,70.36,70.36,1,31.84,31.84,1
64770de09221c78a5c566ff8,AK4LTWCG,2023-05-31T09:05:35.372Z,minute,20.29,20.29,1,44.14,44.14,1,30.7,30.7,1,45.95,45.95,1,37.39,37.39,1,46.17,46.17,1,-10.6,-10.6,1,72.12,72.12,1,31.37,31.37,1
647709ca2d14aafc8685e1c2,AK4LTWCG,2023-05-31T08:48:09.530Z,minute,9.38,9.38,1,18.81,18.81,1,13.58,13.58,1,19.46,19.46,1,16.12,16.12,1,19.55,19.55,1,-12.93,-12.93,1,73.58,73.58,1,30.7,30.7,1
647705b22d14aafc8685d5e0,AK4LTWCG,2023-05-31T08:30:40.782Z,minute,7.12,7.12,1,14.87,14.87,1,10.27,10.27,1,15.29,15.29,1,15.15,15.15,1,15.43,15.43,1,-10.81,-10.81,1,75.56,75.56,1,30.15,30.15,1
6477019ba396c2bd5a1ae682,AK4LTWCG,2023-05-31T08:13:14.818Z,minute,21.97,21.97,1,44.53,44.53,1,32.14,32.14,1,46.09,46.09,1,38.5,38.5,1,46.3,46.3,1,-7.9,-7.9,1,76.21,76.21,1,29.74,29.74,1
6476fd852d14aafc8685c12e,AK4LTWCG,2023-05-31T07:55:48.832Z,minute,24.17,24.17,1,51.62,51.62,1,35.36,35.36,1,53.21,53.21,1,44.83,44.83,1,53.47,53.47,1,-3.98,-3.98,1,77.34,77.34,1,29.16,29.16,1
6476f96fc598a2c4786f0ddb,AK4LTWCG,2023-05-31T07:38:22.206Z,minute,31.39,31.39,1,74.67,74.67,1,45,45,1,77.23,77.23,1,56.19,56.19,1,77.52,77.52,1,1.48,1.48,1,81.14,81.14,1,28.51,28.51,1
6476f558c598a2c4786f028b,AK4LTWCG,2023-05-31T07:20:56.013Z,minute,30.64,30.64,1,74.18,74.18,1,44.19,44.19,1,76.68,76.68,1,54.81,54.81,1,76.9,76.9,1,6.53,6.53,1,83.06,83.06,1,28.09,28.09,1
6476f142c598a2c4786ef7f8,AK4LTWCG,2023-05-31T07:03:29.842Z,minute,45,45,1,115.23,115.23,1,60.98,60.98,1,118.98,118.98,1,72.57,72.57,1,119.42,119.42,1,9.31,9.31,1,83.94,83.94,1,27.83,27.83,1
6476ed2cda72ddd17677c19d,AK4LTWCG,2023-05-31T06:46:03.547Z,minute,42.61,42.61,1,108.32,108.32,1,59.58,59.58,1,112.52,112.52,1,73.16,73.16,1,112.99,112.99,1,15.44,15.44,1,86.3,86.3,1,27.19,27.19,1
6476e916c2b3f7f2020a9c4e,AK4LTWCG,2023-05-31T06:28:37.033Z,minute,44.09,44.09,1,110.11,110.11,1,62.28,62.28,1,114.46,114.46,1,74.91,74.91,1,114.98,114.98,1,13.67,13.67,1,86.7,86.7,1,26.83,26.83,1
6476e4fcc598a2c4786ede3c,AK4LTWCG,2023-05-31T06:11:07.671Z,minute,36.83,36.83,1,94.09,94.09,1,52.75,52.75,1,97.66,97.66,1,66.55,66.55,1,98.01,98.01,1,19.21,19.21,1,88.37,88.37,1,26.71,26.71,1
6476e0e2c2b3f7f2020a86e9,AK4LTWCG,2023-05-31T05:53:38.267Z,minute,35.76,35.76,1,90.32,90.32,1,50.8,50.8,1,93.53,93.53,1,64.78,64.78,1,93.94,93.94,1,18.91,18.91,1,87.98,87.98,1,26.64,26.64,1
6476dcccc2b3f7f2020a7d60,AK4LTWCG,2023-05-31T05:36:11.968Z,minute,39.23,39.23,1,99.07,99.07,1,53,53,1,102.9,102.9,1,66.62,66.62,1,103.19,103.19,1,14.51,14.51,1,87.31,87.31,1,26.7,26.7,1
6476d8b7e811349956df9403,AK4LTWCG,2023-05-31T05:18:45.404Z,minute,25,25,1,49.24,49.24,1,36.17,36.17,1,50.97,50.97,1,45.73,45.73,1,51.18,51.18,1,12.3,12.3,1,86.15,86.15,1,26.85,26.85,1
6476d48d16f66327a3ddaee3,AK4LTWCG,2023-05-31T05:01:00.669Z,minute,22.57,22.57,1,42.97,42.97,1,32.39,32.39,1,44.59,44.59,1,38.35,38.35,1,44.8,44.8,1,5.44,5.44,1,84.17,84.17,1,27.02,27.02,1
6476d06de811349956df7fc0,AK4LTWCG,2023-05-31T04:43:24.670Z,minute,26.15,26.15,1,53.06,53.06,1,36.85,36.85,1,54.82,54.82,1,47.08,47.08,1,55.05,55.05,1,5.92,5.92,1,84.53,84.53,1,27.3,27.3,1
6476cc56e811349956df7545,AK4LTWCG,2023-05-31T04:25:58.412Z,minute,26.19,26.19,1,54.45,54.45,1,39.39,39.39,1,56.66,56.66,1,49.03,49.03,1,56.95,56.95,1,7.32,7.32,1,83.78,83.78,1,27.43,27.43,1
6476c84016f66327a3dd935b,AK4LTWCG,2023-05-31T04:08:32.076Z,minute,25.78,25.78,1,52.77,52.77,1,39.17,39.17,1,55.03,55.03,1,50.61,50.61,1,55.36,55.36,1,5.67,5.67,1,83.71,83.71,1,27.39,27.39,1
6476c42a09fb37eb3f9ff7de,AK4LTWCG,2023-05-31T03:51:05.855Z,minute,21.62,21.62,1,39.49,39.49,1,31.15,31.15,1,41.08,41.08,1,35.92,35.92,1,41.22,41.22,1,6.79,6.79,1,84.49,84.49,1,27.32,27.32,1
6476c0141fcdcb9f42b89072,AK4LTWCG,2023-05-31T03:33:39.472Z,minute,14.15,14.15,1,25.67,25.67,1,19.54,19.54,1,26.69,26.69,1,22.92,22.92,1,26.79,26.79,1,6.43,6.43,1,84.21,84.21,1,27.28,27.28,1
6476bbfe09fb37eb3f9fdc03,AK4LTWCG,2023-05-31T03:16:13.184Z,minute,17.73,17.73,1,30.44,30.44,1,25.12,25.12,1,31.7,31.7,1,29.85,29.85,1,31.84,31.84,1,10.11,10.11,1,84.73,84.73,1,27.29,27.29,1
6476b7e71fcdcb9f42b87d78,AK4LTWCG,2023-05-31T02:58:46.957Z,minute,20.15,20.15,1,35.35,35.35,1,28.77,28.77,1,36.61,36.61,1,35.23,35.23,1,36.79,36.79,1,12.13,12.13,1,84.98,84.98,1,27.43,27.43,1
6476b3d0516c0903bf191ab9,AK4LTWCG,2023-05-31T02:41:20.478Z,minute,14.83,14.83,1,26.76,26.76,1,22.5,22.5,1,27.95,27.95,1,26.48,26.48,1,28.09,28.09,1,10.45,10.45,1,83.51,83.51,1,27.4,27.4,1
6476afba09fb37eb3f9fb796,AK4LTWCG,2023-05-31T02:23:54.221Z,minute,3.81,3.81,1,9.29,9.29,1,7.15,7.15,1,9.66,9.66,1,10.92,10.92,1,9.78,9.78,1,8.72,8.72,1,82.9,82.9,1,27.35,27.35,1
